Vlucht_id;Datum;Dag;Maand;Jaar;Vertrektijd;Vertrektijd_uur;Plandatum;Plandag;Planmaand;Planjaar;Plantijd;Plantijd_uur;VertragingMin;Terminal;Gate;Plangate;Gatewisselafstand;Shops;Operatie;Faciliteiten;Maatschappijnaam;RH;FXX;VVN;Drukte;BezettingPercentage;Passagiers;Vliegtuigmerk;Vliegtuigtype;Vliegtuigcapaciteit;Bouwjaar;Bestemming_plaats;Bestemming_land
22081;2013-01-01;1;1;2013;00:48:00.0000000;0;2013-01-01;1;1;2013;00:46:00.0000000;0;2;C;C4;NA;0;5,1;6,8;8;KLM Royal Dutch Airlines;81;140;46;53;77;212;Airbus;A300-600P;275;1997;Tokyo;Japan
22034;2013-01-01;1;1;2013;02:08:00.0000000;2;2013-01-01;1;1;2013;02:04:00.0000000;2;4;C;C2;NA;0;5,4;5,7;7,7;Lufthansa;81;140;46;53;74;78;Airbus;A318;105;2004;Reus;Spain
22035;2013-01-01;1;1;2013;02:37:00.0000000;2;2013-01-01;1;1;2013;02:30:00.0000000;2;7;D;D5;NA;0;6;8,1;8,9;Singapore Airlines;81;140;46;53;87;218;Airbus;A310-200;250;1983;Krakow;Poland
22037;2013-01-01;1;1;2013;05:30:00.0000000;5;2013-01-01;1;1;2013;05:28:00.0000000;5;2;C;C3;NA;0;4,6;6,2;8,7;THY Turkish Airlines;81;140;46;53;47;16;Saab;SF340;34;1988;Madrid;Spain
22039;2013-01-01;1;1;2013;05:47:00.0000000;5;2013-01-01;1;1;2013;05:44:00.0000000;5;3;C;C3;C3;0;5,1;7,4;8,6;VLM Airlines;81;140;46;53;68;102;Boeing;737-300;150;1993;Stockholm;Sweden
22041;2013-01-01;1;1;2013;07:40:00.0000000;7;2013-01-01;1;1;2013;07:32:00.0000000;7;8;C;C1;NA;0;7,3;6,2;8;KLM Royal Dutch Airlines;81;140;46;53;79;119;Airbus;A320-200;150;1994;Bologna;Italy
22044;2013-01-01;1;1;2013;08:55:00.0000000;8;2013-01-01;1;1;2013;08:48:00.0000000;8;7;C;C5;C5;0;5;7,5;8,5;EVA Airways;81;140;46;53;100;275;Boeing;767-400ER;275;2002;Copenhagen;Denmark
22045;2013-01-01;1;1;2013;09:04:00.0000000;9;2013-01-01;1;1;2013;08:58:00.0000000;8;6;E;E5;NA;0;5,2;7,1;7,8;Blue1;81;140;46;53;77;250;Mcdonnel;DOUGLAS MD-11;325;1992;Damascus;Syria
22046;2013-01-01;1;1;2013;09:52:00.0000000;9;2013-01-01;1;1;2013;09:48:00.0000000;9;4;D;D4;NA;0;5,7;7;8,1;Singapore Airlines;81;140;46;53;53;93;Boeing;737-400;175;1992;New York;USA
22048;2013-01-01;1;1;2013;11:24:00.0000000;11;2013-01-01;1;1;2013;11:17:00.0000000;11;7;C;C3;NA;0;5,7;7,4;7,9;KLM Royal Dutch Airlines;81;140;46;53;83;125;Airbus;A320-200;150;2000;Edmonton;Canada
22054;2013-01-01;1;1;2013;12:15:00.0000000;12;2013-01-01;1;1;2013;12:00:00.0000000;12;15;C;C1;NA;0;5,3;7,1;8,5;KLM Royal Dutch Airlines;81;140;46;53;68;82;Boeing;757-200M;120;1995;Toronto;Canada
22060;2013-01-01;1;1;2013;12:32:00.0000000;12;2013-01-01;1;1;2013;12:24:00.0000000;12;8;D;D4;NA;0;6,1;7;8,4;Delta Air Lines;81;140;46;53;45;101;Boeing;747-400M;225;1997;Sevilla;Spain
22062;2013-01-01;1;1;2013;13:06:00.0000000;13;2013-01-01;1;1;2013;13:01:00.0000000;13;5;E;E3;NA;0;5,8;6,4;8,7;Malaysia Airlines;81;140;46;53;62;81;British Aerospace;146-300;130;1987;Rome;Italy
22061;2013-01-01;1;1;2013;13:08:00.0000000;13;2013-01-01;1;1;2013;12:57:00.0000000;12;11;D;D5;D5;0;6;7,2;7,6;Delta Air Lines;81;140;46;53;68;136;Boeing;757-200P;200;1992;Stockholm;Sweden
22064;2013-01-01;1;1;2013;13:14:00.0000000;13;2013-01-01;1;1;2013;13:08:00.0000000;13;6;B;B2;B2;0;5,8;7,5;6,3;Iran Air;81;140;46;53;88;29;Embrear;EMB-120;33;1986;Naples;Italy
22065;2013-01-01;1;1;2013;14:41:00.0000000;14;2013-01-01;1;1;2013;14:40:00.0000000;14;1;C;C4;NA;0;5;7,7;7,3;KLM Royal Dutch Airlines;81;140;46;53;86;155;Boeing;737-800;180;2001;Houston;USA
22068;2013-01-01;1;1;2013;14:53:00.0000000;14;2013-01-01;1;1;2013;14:42:00.0000000;14;11;D;D2;D2;0;6,7;7;8,1;Iberia;81;140;46;53;81;89;Boeing;737-500;110;1992;Reykjavik;Iceland
22069;2013-01-01;1;1;2013;16:45:00.0000000;16;2013-01-01;1;1;2013;16:39:00.0000000;16;6;C;C3;C3;0;4,4;6,9;8,4;ArkeFly;81;140;46;53;75;75;Fokker;100;100;1992;Los Angeles;USA
22070;2013-01-01;1;1;2013;17:00:00.0000000;17;2013-01-01;1;1;2013;16:54:00.0000000;16;6;C;C4;C4;0;5,1;7,2;8,2;Israir;81;140;46;53;81;713;Airbus;A380;880;2005;Punta Cana;Dominican Republic
22072;2013-01-01;1;1;2013;18:18:00.0000000;18;2013-01-01;1;1;2013;18:16:00.0000000;18;2;B;B2;B2;0;5,8;7,6;6,6;SAS Scandinavian Airlines;81;140;46;53;89;64;Aerospatiale/Aerital;ATR 72;72;1999;Copenhagen;Denmark
22073;2013-01-01;1;1;2013;18:57:00.0000000;18;2013-01-01;1;1;2013;18:47:00.0000000;18;10;B;B4;B4;0;7,5;7,1;6,4;Air Berlin;81;140;46;53;73;128;Airbus;A300C4;175;1987;Istanbul;Turkey
22074;2013-01-01;1;1;2013;19:14:00.0000000;19;2013-01-01;1;1;2013;19:12:00.0000000;19;2;A;A5;A5;0;5,4;8;5,7;Virgin Express;81;140;46;53;59;89;Boeing;737-300;150;1989;Berlin;Germany
22075;2013-01-01;1;1;2013;23:20:00.0000000;23;2013-01-01;1;1;2013;23:18:00.0000000;23;2;D;D4;NA;0;5,7;7,2;8;Singapore Airlines;81;140;46;53;47;113;Boeing;737-900;240;2003;Chania;Greece
22078;2013-01-02;2;1;2013;00:01:00.0000000;0;2013-01-02;2;1;2013;23:39:00.0000000;23;22;E;E2;NA;0;6;5,4;8,2;Alitalia;4;130;21;57;69;287;Boeing;747-400P;416;1994;Thessaloniki;Greece
