code|name|updated
100|Fokker 100|2015-10-05T22:27:42+02:00
141|British Aerospace BAe 146-100|2015-10-05T22:27:42+02:00
142|British Aerospace BAe 146-200|2015-10-05T22:27:42+02:00
143|British Aerospace BAe 146-300|2015-10-05T22:27:42+02:00
146|British Aerospace BAe 146|2015-10-05T22:27:42+02:00
14F|British Aerospace BAe 146 Freighter|2015-10-05T22:27:42+02:00
14X|British Aerospace BAe 146-100QT/QC|2015-10-05T22:27:42+02:00
14Y|British Aerospace BAe 146-200QT/QC|2015-10-05T22:27:42+02:00
14Z|British Aerospace BAe 146-300QT/QC|2015-10-05T22:27:42+02:00
310|Airbus Industrie A310|2015-10-05T22:27:42+02:00
312|Airbus Industrie A310-200|2015-10-05T22:27:42+02:00
313|Airbus Industrie A310-300|2015-10-05T22:27:42+02:00
318|Airbus Industrie A318|2015-10-05T22:27:42+02:00
319|Airbus Industrie A319|2015-10-05T22:27:42+02:00
31F|Airbus Industrie A310 Freighter|2015-10-05T22:27:42+02:00
31X|Airbus Industrie A310-200 Freighter|2015-10-05T22:27:42+02:00
31Y|Airbus Industrie A310-300 Freighter|2015-10-05T22:27:42+02:00
320|Airbus Industrie A320|2015-10-05T22:27:42+02:00
321|Airbus Industrie A321|2015-10-05T22:27:42+02:00
32S|Airbus Industrie A318/319/320/321|2015-10-05T22:27:42+02:00
330|Airbus Industrie A330|2015-10-05T22:27:42+02:00
332|Airbus Industrie A330-200|2015-10-05T22:27:42+02:00
333|Airbus Industrie A330-300|2015-10-05T22:27:42+02:00
340|Airbus Industrie A340|2015-10-05T22:27:42+02:00
342|Airbus Industrie A340-200|2015-10-05T22:27:42+02:00
343|Airbus Industrie A340-300|2015-10-05T22:27:42+02:00
345|Airbus Industrie A340-500|2015-10-05T22:27:42+02:00
346|Airbus Industrie A340-600|2015-10-05T22:27:42+02:00
380|Airbus Industrie A380|2015-10-05T22:27:42+02:00
388|Airbus Industrie A380-800|2015-10-05T22:27:42+02:00
38F|Airbus Industrie A380 Freighter|2015-10-05T22:27:42+02:00
703|Boeing 707-300|2015-10-05T22:27:42+02:00
707|Boeing 707/720|2015-10-05T22:27:42+02:00
70F|Boeing 707-300 Freighter|2015-10-05T22:27:42+02:00
70M|Boeing 707-300 Combi|2015-10-05T22:27:42+02:00
717|Boeing 717-200|2015-10-05T22:27:42+02:00
721|Boeing 727-100|2015-10-05T22:27:42+02:00
722|Boeing 727-200|2015-10-05T22:27:42+02:00
727|Boeing 727|2015-10-05T22:27:42+02:00
72A|Boeing 727-200 Advanced|2015-10-05T22:27:42+02:00
72B|Boeing 727-100 Combi|2015-10-05T22:27:42+02:00
72C|Boeing 727-200 Combi|2015-10-05T22:27:42+02:00
72F|Boeing 727 Freighter|2015-10-05T22:27:42+02:00
72M|Boeing 727 Combi|2015-10-05T22:27:42+02:00
