AC_TYPEID;AC_GROUP;SSD_NAME;MANUFACTURER;LONG_NAME;SHORT_NAME;BEGIN_DATE;END_DATE
8;0;AERO MACCHI AL-60;AERO MACCHI;AERO MACCHI AL-60;AL-60;1-1-1990;
9;0;AERONCA 7-AC;AERONCA;AERONCA 7-AC;AERONCA7;1-1-1990;
613;6;AEROSPATL CORVETTE;AEROSPATIALE;AEROSPATIALE CORVETTE;CORVETTE;1-1-1990;
680;6;CARAVELLE SE-210;AEROSPATIALE;AEROSPATIALE CARAVELLE SE-210;CARAVLLE;1-1-1990;
441;4;ATR-42;AEROSPATIALE/AERITALIA;AEROSPATIALE/AERITALIA ATR-42;ATR-42;1-1-1990;
442;4;ATR-72;AEROSPATIALE/AERITALIA;AEROSPATIALE/AERITALIA ATR-72;ATR-72;1-1-1990;
875;8;CONCORDE;AEROSPATIALE/BRITISH AEROSPACE;AEROSPATIALE/BRITISH AEROSPACE CONCORDE;CONCORDE;1-1-1990;
325;3;AGUSTA A-119 KOALA;AGUSTA;AGUSTA A-119 KOALA;A-119;1-11-2013;
393;3;AGUSTAWESTLAND 139;AGUSTAWESTLAND;AGUSTAWESTLAND AW139;AW139;1-1-2010;
443;4;AIR TRACTOR AT-802;AIR TRACTOR;AIR TRACTOR AT-802;AT-802;1-1-2013;
836;6;A350-1000;AIRBUS;AIRBUS 350-1000;A350-10;1-1-2017;
339;6;AIRBUS A330-900;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A330-900;A339;1-9-2016;
359;6;AIRBUS A350-900;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A350-900;A359;1-9-2016;
644;6;A-318;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A-318;A318;1-6-2003;
687;6;AIRBUS A330-300;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A330-300;A330-3;1-1-2004;
689;6;A300-600ST(BELUGA);AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A330-600ST (BELUGA);BELUGA;1-7-1998;
690;6;A300B/C/F-100/200;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A300B/C/F-100/200;A300-1/2;1-1-1990;
691;6;A300-600/R/CF/RCF;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A300-600/R/CF/RCF;A300-6;1-1-1990;
692;6;A310-200C/F;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A310-200C/F;A310-2CF;1-1-1990;
693;6;A310-300;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A310-300;A310-3;1-1-1990;
694;6;A320-100/200;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A320-100/200;A320-1/2;1-1-1990;
695;6;A300-B2;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A300-B2;A300-B2;1-1-1990;
696;6;A330-200/220F;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A330-200;A330-2;1-1-1992;
697;6;A340;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A340;A340;1-1-1992;
698;6;A319;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A319;A319;1-1-1997;
699;6;A321;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A321;A321;1-1-1990;
871;8;A340-300;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A340-300;A340-3;1-9-1996;
872;8;A340-500;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A340-500;A340-5;1-9-1996;
873;8;A340-200;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A340-200;A340-2;1-9-1996;
874;8;A340-600;AIRBUS INDUSTRIE;AIRBUS INDUSTRIE A340-600;A340-6;1-9-1996;
882;8;A380-800;AIRBUS INDUSTRIE;AIRBUS INDUSTRAI A380-800;A380-8;1-7-2008;
340;3;EUROCOPTER AS350 ;AMERICAN EUROCOPTER;EUROCOMPTER AS350 B2 ASTAR;AS350 B2;1-12-2010;
508;5;ANTONOV AN-22-F;ANTONOV;ANTONOV AN-22 FREIGHTER;AN-22F;1-1-1990;
607;6;ANTONOV AN-72/74;ANTONOV;ANTONOV AN-72/74;AN-72/74;1-9-2006;
880;8;ANTONOV 124;ANTONOV;ANTONOV 124;AN-124;1-1-1990;
890;8;ANTONOV 225;ANTONOV;ANTONOV 225 (6 ENGINE);AN-225;1-1-1990;
444;4;ANTONOV 24/26/32;ANTONOV DESIGN BUREAU;ANTONOV 24/26/32;AN-24/6;1-1-1999;
507;5;ANTONOV 12;ANTONOV DESIGN BUREAU;ANTONOV 12;AN-12;1-1-2000;
510;5;AW-650;ARMSTRONG WHITWORTH;AW-650;AW-650;1-1-1990;
835;8;AVROLINER RJ85;AVRO INTERNATIONAL AEROSPACE;AVROLINER RJ85;AV RJ85;1-1-1997;
10;0;BEECH 35/36;BEECHCRAFT;BEECH BONANZA 35A/C/D/E/G/H/J/K/S/V/  36A;BONANZA;1-1-1990;
