Luchthavencode;Naam;Plaats;Staat;Land;Aanduiding;Vakantiecode;Lat;Lon;Continent;Afstand in km;Tijdsduur;Uren
AAL;Aalborg;Aalborg;;Denmark;Aalborg;1;57,092789;9,849164;Eur;637,5312833;92,82769037;1,547128173
AUH;Abu Dhabi Intl;Abu Dhabi;;United Arab Emirates;Abu Dhabi;2;24,432972;54,651138;Az;5160,751613;481,8246387;8,030410646
ALY;Alexandria Intl;Alexandria;;Egypt;Alexandria;2;31,183903;29,948889;Afr;3075,6537;302,5062182;5,041770303
ALC;Alicante;Alicante;;Spain;Alicante;2;38,282169;-0,558156;Eur;1593,556648;175,0458717;2,917431196
AMS;Schiphol;Amsterdam;;Netherlands;Amsterdam;1;52,308613;4,763889;Eur;36,70988618;41,15705021;0,685950837
ESB;Esenboga;Ankara;;Turkey;Ankara;2;40,128082;32,995083;Eur;2502,848327;253,2449562;4,220749269
AYT;Antalya;Antalya;;Turkey;Antalya;4;36,898731;30,800461;Eur;2620,306246;263,3463371;4,389105619
AUA;Reina Beatrix Intl;Aruba;;Aruba;Aruba;4;12,501389;-70,015221;NAm;7900,023373;717,4020101;11,95670017
ATH;Eleftherios Venizelos Intl;Athens;;Greece;Athens;3;37,936358;23,944467;Eur;2145,631648;222,5243217;3,708738695
BKK;Suvarnabhumi Intl;Bangkok;;Thailand;Bangkok;2;13,681108;100,747283;Az;9190,801364;828,4089173;13,80681529
BCN;Barcelona;Barcelona;;Spain;Barcelona;3;41,297078;2,078464;Eur;1218,250152;142,7695131;2,379491884
PEK;Capital Intl;Beijing;;China;Beijing;2;40,080111;116,584556;Az;7827,603578;711,1739077;11,85289846
TXL;Tegel;Berlin;;Germany;Berlin;2;52,559686;13,287711;Eur;558,4051799;86,02284547;1,433714091
BOG;Eldorado Intl;Bogota;;Colombia;Bogota;0;4,701594;-74,146947;ZAm;8861,857726;800,1197644;13,33532941
BOS;General Edward Lawrence Logan Intl;Boston;;USA;Boston;3;42,364347;-71,005181;NAm;5579,42171;517,830267;8,630504451
BSB;Presidente Juscelino Kubitschek;Brasilia;Distrito Federal;Brazil;Brasilia;1;-15,8711;-47,918625;ZAm;9112,464709;821,671965;13,69453275
BRU;Brussels Zaventem;Brussels;;Belgium;Brussels;1;50,901389;4,484444;Eur;135,5515829;49,65743613;0,827623936
EZE;Ministro Pistarini;Buenos Aires;Buenos Aires;Argentina;Buenos Aires;3;-34,822222;-58,535833;ZAm;11461,59094;1023,696821;17,06161368
CAI;Cairo Intl;Cairo;;Egypt;Cairo;2;30,121944;31,405556;Afr;3251,337948;317,6150636;5,293584393
YYC;Calgary Intl;Calgary;Alberta;Canada;Calgary;1;51,113888;-114,020278;NAm;7204,305396;657,5702641;10,9595044
CPT;Cape Town Intl;Cape Town;;South Africa;Cape Town;3;-33,964806;18,601667;Afr;9654,931054;868,3240706;14,47206784
ORD;O'Hare International;Chicago;IL;USA;Chicago;2;41,860278;-87,609722;NAm;6638,414881;608,9036797;10,14839466
CPH;Kastrup;Copenhagen;;Denmark;Copenhagen;2;55,617917;12,655972;Eur;633,3774688;92,47046232;1,541174372
ORK;Cork Airport;Cork;;Ireland;Cork;2;51,841269;-8,491111;Eur;931,1949784;118,0827681;1,968046136
DFW;Dallas Fort Worth Intl;Dallas/Ft Worth;TX;USA;Dallas/Ft Worth;1;32,896828;-97,037997;NAm;7934,590439;720,3747778;12,0062463
DAR;Julius Nyerere International Airport;Dar Es Salaam;;Tanzania;Dar Es Salaam;2;-6,878111;39,202625;Afr;7308,352375;666,5183042;11,1086384
DEL;Indira Gandhi Intl;Delhi;;India;Delhi;3;28,5665;77,103088;Az;6342,586351;583,4624262;9,724373769
DTW;Detroit Metro Wayne Co;Detroit;MI;USA;Detroit;1;42,212444;-83,353389;NAm;6357,685878;584,7609855;9,746016425
DOH;Hamad International Airport;Doha;;Qatar;Doha;2;25,261125;51,565056;Az;4889,767747;458,5200262;7,642000437
DWC;Al-Maktoum International Airport;Dubai;;United Arab Emirates;Dubai Al-Maktoum;0;24,55056;55,103174;Az;5180,384015;483,5130253;8,058550421
