IATA;ICAO;Merk;Type;Wake;;Capaciteit;Vracht
A4F;A124;Antonov;Antonov AN-124 Ruslan;H;;;
A40;A140;Antonov;Antonov AN-140;M;;;
AB6;A306;Airbus;Airbus Industrie A300-600 pax;H;;275;5
ABY;A306;Airbus;Airbus Industrie A600-600 Freighter;H;;0;38
AB3;A30B;Airbus;Airbus Industrie A300 pax;H;;275;5
AB4;A30B;Airbus;Airbus Industrie A300B2/B4/C4 pax;H;;275;5
ABF;A30B;Airbus;Airbus Industrie A300 Freighter;H;;0;40
ABX;A30B;Airbus;Airbus Industrie A300C4/F4 Freighter;H;;0;40
310;A310;Airbus;Airbus A310 all pax models;H;;250;5
312;A310;Airbus;Airbus A310-200 pax;H;;250;5
313;A310;Airbus;Airbus A310-300 pax;H;;250;5
31F;A31F;Airbus;Airbus A310 Freighter;M;Freighter;0;35
31X;A31F;Airbus;Airbus A310-200 Freighter;M;Freighter;0;35
31Y;A31F;Airbus;Airbus A310-300 Freighter;M;Freighter;0;35
318;A318;Airbus;Airbus A318;M;;105;8
319;A319;Airbus;Airbus A319;M;;125;8
320;A320;Airbus;Airbus A320-100/200;M;;150;8
321;A321;Airbus;Airbus A321-100/200;M;;185;8
330;A330;Airbus;Airbus A330 all models;H;;250;8
33F;A33F;Airbus;Airbus A330-200 Freighter;H;Freighter;0;70
332;A332;Airbus;Airbus A330-200;H;;246;8
333;A333;Airbus;Airbus A330-300;H;;300;8
340;A340;Airbus;Airbus A340 all models;H;;310;8
342;A342;Airbus;Airbus A340-200;H;;310;8
343;A343;Airbus;Airbus A340-300;H;;340;8
345;A345;Airbus;Airbus A340-500;H;;340;8
346;A346;Airbus;Airbus A340-600;H;;340;8
351;A351;Airbus;Airbus A350-1000;H;;366;8
359;A359;Airbus;Airbus A350-900;H;;325;8
380;A388;Airbus;Airbus A380 pax;H;;880;15
ABB;A3ST;Airbus;Airbus Industrie A300-600ST Beluga Freighter;H;;;
HS7;A748;Hawker;Hawker Siddeley HS.748;M;;;
ACP;AC68;Gulfstream;Gulfstream/Rockwell (Aero) Commander;L;;;
ACT;AC90;Gulfstream;Gulfstream/Rockwell (Aero) Turbo Commander;L;;;
ANF;AN12;Antonov;Antonov AN-12;M;;;
AN4;AN24;Antonov;Antonov AN-24;M;;;
YN7;AN24;Xi'an;Xian Yunshuji Y7;M;;;
A26;AN26;Antonov;Antonov AN-26;L;;;
A28;AN28;Antonov;Antonov AN-28 / PZL Miele M-28 Skytruck;L;;;
A30;AN30;Antonov;Antonov AN-30;L;;;
A32;AN32;Antonov;Antonov AN-32;L;;;
AN7;AN72;Antonov;Antonov AN-72 / AN-74;M;;;
AT4;AT43;Aerospatiale;Aerospatiale/Alenia ATR 42-300 / 320;M;;;
AT5;AT45;Aerospatiale;Aerospatiale/Alenia ATR 42-500;M;;;
AT7;AT72;Aerospatiale;Aerospatiale/Alenia ATR 72;M;;72;5
ATP;ATP;British Aerospace;British Aerospace ATP;M;;;
MBH;B105;Eurocopter;Eurocopter (MBB) Bo.105;n/a;;;
BE1;B190;Beechcraft ;Beechcraft 1900/1900C/1900D;M;;;
BEH;B190;Beechcraft ;Beechcraft 1900D;M;;;
BES;B190;Beechcraft ;Beechcfrat 1900/1900C;M;;;
141;B461;British Aerospace;BAe 146-100 Pax;M;;105;5
14X;B461;British Aerospace;BAe 146 Freighter (-100QT & QC);M;;;
142;B462;British Aerospace;BAe 146-200 Pax;M;;115;5
14Y;B462;British Aerospace;BAe 146 Freighter (-200QT & QC);M;;;
143;B463;British Aerospace;BAe 146-300 Pax;M;;130;5
14Z;B463;British Aerospace;BAe 146 Freighter (-200QT & QC);M;;;
703;B703;Boeing;Boeing 707-300 pax;H;;;
70F;B703;Boeing;Boeing 707 Freighter;H;;;
70M;B703;Boeing;Boeing 707 Combi;H;;;
717;B712;Boeing;Boeing 717;M;;135;5
B72;B720;Boeing;Boeing 720B pax;M;;;
721;B721;Boeing;Boeing 727-100 pax;M;;;
72B;B721;Boeing;Boeing 727-100 Mixed Configuration;M;;;
72X;B721;Boeing;Boeing 727-100 Freighter;M;;;
722;B722;Boeing;Boeing 727-200 pax;M;;;
72C;B722;Boeing;Boeing 727-200 Mixed Configuration;M;;;
72S;B722;Boeing;Boeing 727-200 Advanced pax;M;;;
72Y;B722;Boeing;Boeing 727-200 Freighter;M;;;
731;B731;Boeing;Boeing 737-100 pax;M;;;
732;B732;Boeing;Boeing 737-200 pax;M;;;
73M;B732;Boeing;Boeing 737-200 Combi;M;;;
73X;B732;Boeing;Boeing 737-200 Freighter;M;;;
